PSC CODE,PRODUCT AND SERVICE CODE NAME,START DATE,END DATE,PRODUCT AND SERVICE CODE FULL NAME,PRODUCT AND SERVICE CODE EXCLUDES,PRODUCT AND SERVICE CODE NOTES,PRODUCT AND SERVICE CODE INICLUDES
1045,"LAUNCHERS, TORPEDO AND DEPTH CHARGE",10/15/1978,,"Launchers, Torpedo and Depth Charge",,,Depth Charge Tracks; Torpedo Tubes.
1055,"LAUNCHERS, ROCKET AND PYROTECHNIC",10/15/1978,,"Launchers, Rocket and Pyrotechnic","Specifically designed Airborne Guided Missile  Launchers; Jettisonable Rocket Launchers; Launcher Fairings designed for specific airframes; Rifle Grenade Launchers; Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto Loading or Automatic Firing.",,Airborne Rocket Launchers adaptable to guided missile use.
1070,"NETS AND BOOMS, ORDNANCE",12/15/1978,,"Nets and Booms, Ordnance",,This class includes nets and booms for harbor  defense only.,
1075,DEGAUSSING AND MINE SWEEPING EQUIPMENT,10/1/2011,,Degaussing and Mine Sweeping Equipment,,,
1075,DEGAUSSING & MINE SWEEPING EQUIPMEN,10/15/1978,9/30/2011,Degaussing and Mine Sweeping Equipment,,,
1080,CAMOUFLAGE AND DECEPTION EQUIPMENT,10/15/1978,,Camouflage and Deception Equipment,,,"Dummy Artillery, Aircraft and Vehicles; Garnished Nets."
1090,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES,10/1/2011,,Assemblies Interchangeable Between Weapons in Two or More  Classes,,,Components and Accessories used on or with weapons falling in two or more classes of group 10.
1090,WPNS ASSY INTERCHANGE BETWN 2/MORE,10/15/1978,9/30/2011,Assemblies Interchangeable Between Weapons in Two or More  Classes,,,Components and Accessories used on or with weapons falling in two or more classes of group 10.
1095,MISCELLANEOUS WEAPONS,10/15/1978,,Miscellaneous Weapons,,,"Line Throwing Guns; Catapult Guns; Bayonets; Saluting Guns; Signal Guns; Flare Guns; Barrage Balloons; Accessories, not elsewhere classifiable, for Weapons in this group; Expendable Bomb Dispensers."
11,NUCLEAR ORDNANCE,10/1/1979,,,,"This group includes, in particular, nuclear  ordnance training weapons, practice ballistic units, and all components specially designed therefore, when not specifically classified elsewhere.  Also included in the group are specially designed simulators and mockups, which are  integral parts of the above.  Excluded from this group  are general purpose nose cones, case sections, flare  sections or center sections designed to carry payloads  other than nuclear and/or for use on a missile, rocket,  or re-entry vehicle to attain the necessary aerodynamic  configuration.",
1105,NUCLEAR BOMBS,12/15/1978,,Nuclear Bombs,Parachute canopies and canopy hardware.,"This class includes nuclear weapons (including bombs), which are designed to be dropped from an aircraft.","Ballistic cases, tail assemblies, retardation devices, and other peculiar components which are not  classifiable elsewhere."
1110,NUCLEAR PROJECTILES,1/15/1980,,Nuclear Projectiles,,"This class includes nuclear weapons which are designed to be propelled from a recoilless rifle, gun,  howitzer, or the like, and which are not designed to be  self propelled.","Ogive sections, body sections, bases, and other peculiar components which are not classifiable elsewhere."
1115,NUCLEAR WARHEADS & WARHEAD SECTIONS,11/15/1978,9/30/2011,Nuclear Warheads and Warhead  Sections,"Such components as fuzing and firing devices,  nuclear components, high explosive components, classifiable in more specific classes, and items such as projectiles  and bombs which include the entire outer case of a weapon.","This class includes nuclear warheads (without or assembled with case sections, adaption kits, and/or fuzing and firing components) which are to be used in or with bombs, rockets, projectiles, missiles, demolition charges, or the like.  Also includes case sections, nose cones,  flare sections, center sections, and auxiliary structural components of missiles, rockets, and re-entry vehicles  which are designed or constructed for exclusive use with or for housing of nuclear warheads and/or warhead sections.","Components and parts peculiar to the warhead or warhead section, which are not classifiable in more specific classes."
1115,NUCLEAR WARHEADS AND WARHEAD SECTIONS,10/1/2011,,Nuclear Warheads and Warhead  Sections,"Such components as fuzing and firing devices,  nuclear components, high explosive components, classifiable in more specific classes, and items such as projectiles  and bombs which include the entire outer case of a weapon.","This class includes nuclear warheads (without or assembled with case sections, adaption kits, and/or fuzing and firing components) which are to be used in or with bombs, rockets, projectiles, missiles, demolition charges, or the like.  Also includes case sections, nose cones,  flare sections, center sections, and auxiliary structural components of missiles, rockets, and re-entry vehicles  which are designed or constructed for exclusive use with or for housing of nuclear warheads and/or warhead sections.","Components and parts peculiar to the warhead or warhead section, which are not classifiable in more specific classes."
1120,NUCLEAR DEPTH CHARGES,1/15/1985,,Nuclear Depth Charges,,This class includes nuclear weapons which consist  of depth charge bodies assembled with nuclear warheads.  It includes training weapons and all specially designed  components which are not classifiable elsewhere.,
1125,NUCLEAR DEMOLITION CHARGES,10/1/1991,,Nuclear Demolition Charges,,"This class includes nuclear weapons which are designed to be emplaced in or near a structure, area or  the like, which is to be destroyed.  The weapons may include accessories.","Outer cases, case sections and other peculiar  components, which are not classifiable elsewhere."
1127,NUCLEAR ROCKETS,9/15/1982,,Nuclear Rockets,Rocket Motors; Warhead Components; Rocket  Components classified in other FSC classes.,"This class includes nuclear weapons, consisting of rocket bodies assembled with nuclear warheads,  which comprise a single item of supply and are issued as such.",Components peculiar to assembled rockets which are not classifiable elsewhere.
1130,"CONVERSION KITS, NUCLEAR ORDNANCE",6/15/1979,,"Conversion Kits, Nuclear Ordnance",,This class Includes collections of items used for the purpose of  converting nuclear weapons from one configuration to another.,
1135,"FUZING AND FIRING DEVICES, NUCLEAR ORDNANCE",10/1/2011,,"Fuzing and Firing Devices, Nuclear Ordnance",,,"Such items as fuzes, power supplies, firing sets, X-units, cables, safing devices, adaption kits, and  re-entry vehicle nuclear ordnance arming and fuzing systems."
1135,"FUZING & FIRING DEVICES, NUCLEAR OR",11/15/1978,9/30/2011,"Fuzing and Firing Devices, Nuclear Ordnance",,,"Such items as fuzes, power supplies, firing sets, X-units, cables, safing devices, adaption kits, and  re-entry vehicle nuclear ordnance arming and fuzing systems."
1140,NUCLEAR COMPONENTS,10/15/1978,,Nuclear Components,"End items, such as bombs, projectiles, warheads, and the like.",,All components which contain or simulate nuclear active materials.
1145,"EXPLOSIVE & PYROTECHNIC COMPS, NUCL",9/15/1979,9/30/2011,"Explosive and Pyrotechnic Components, Nuclear Ordnance",,"This class includes actual and simulated explosive and pyrotechnic components peculiar to all nuclear ordnance end items such as bombs, demolition charges, rockets, projectiles, warheads, and related systems.  Excluded from this class are all explosive and pyrotechnic components designed for other than nuclear ordnance applications.",
1145,"EXPLOSIVE AND PYROTECHNIC COMPONENTS, NUCLEAR ORDNANCE",10/1/2011,,"Explosive and Pyrotechnic Components, Nuclear Ordnance",,"This class includes actual and simulated explosive and pyrotechnic components peculiar to all nuclear ordnance end items such as bombs, demolition charges, rockets, projectiles, warheads, and related systems.  Excluded from this class are all explosive and pyrotechnic components designed for other than nuclear ordnance applications.",
1190,"SPEC TEST & HANDLING EQ, NUCLEAR EQ",11/15/1978,9/30/2011,"Specialized Test and Handling Equipment, Nuclear Ordnance","Hand tools; Instruments for use on both nuclear ordnance and other equipment; Basic types of electrical and electronic test instruments, including those specially designed, such as ammeters, voltmeters, ohmmeters, multimeters, and similar instruments, as shown in the indexes in the FSC.",,"Specially designed trucks and trailers for nuclear ordnance; Specially designed slings and hoists; Operational, test, and setting devices, and cradles; Conditioning Kits and Sets, Controlled Environment."
1190,"SPECIALIZED TEST AND HANDLING EQUIPMENT, NUCLEAR ORDNANCE",10/1/2011,,"Specialized Test and Handling Equipment, Nuclear Ordnance","Hand tools; Instruments for use on both nuclear ordnance and other equipment; Basic types of electrical and electronic test instruments, including those specially designed, such as ammeters, voltmeters, ohmmeters, multimeters, and similar instruments, as shown in the indexes in the FSC.",,"Specially designed trucks and trailers for nuclear ordnance; Specially designed slings and hoists; Operational, test, and setting devices, and cradles; Conditioning Kits and Sets, Controlled Environment."
1195,MISCELLANEOUS NUCLEAR ORDNANCE,10/15/1978,,Miscellaneous Nuclear Ordnance,,,Items common to more than one class or items not properly fitting into the foregoing classes of nuclear ordnance
12,FIRE CONTROL EQPT.,10/1/1979,,,,"Fire Control assemblies, subassemblies, and components are classified: a.  In appropriate classes of this group when:  (1)  Designed for multiple applications to different kinds of fire control equipment. (2)  Modified for use with guided missile remote control systems. (3)  Designed specifically for shipborne guided missile  remote control systems. (4)  Radar equipment, designed specifically for fire control systems. (5)  Both day and night viewing characteristics are incorporated into an integral unit.  b.  In class 1270 or 1280, when designed specifically for  aircraft gunnery or aircraft bombing fire control,  respectively.  c.  In class 1430, when designed specifically for guided missile remote control systems, except shipboard type. d.  In appropriate classes of group 58, when designed for  multiple applications to both fire control and  communication equipment. e.  In appropriate classes of group 58 when designed for night vision.",
1210,FIRE CONTROL DIRECTORS,10/15/1978,,Fire Control Directors,,,
1220,FIRE CONTROL COMPUTING SIGHTS AND DEVICES,10/1/2011,,Fire Control Computing Sights and Devices,,,
1220,FIRE CONT COMPUTING SIGHTS & DEVICE,10/15/1978,9/30/2011,Fire Control Computing Sights and Devices,,,
1230,"FIRE CONTROL SYSTEMS, COMPLETE",10/15/1978,,"Fire Control Systems, Complete",,"This class includes only complete fire control systems. Anything less than a complete system, such as individual end items, assemblies, parts, attachments, or accessories for use in fire control systems are classified in classes other than this class.",
1240,OPTICAL SIGHTING AND RANGING EQUIPMENT,10/1/2011,,Optical Sighting and Ranging Equipment,,,Periscopes for Submarines; Range and Height  Finders; Telescopic Sights;  Optical Instruments Integrated with Fire Control Equipment.
1240,OPTICAL SIGHTING & RANGING EQUIPMEN,10/15/1978,9/30/2011,Optical Sighting and Ranging Equipment,,,Periscopes for Submarines; Range and Height  Finders; Telescopic Sights;  Optical Instruments Integrated with Fire Control Equipment.
1250,FIRE CONTROL STABILIZING MECHANISMS,10/15/1978,,Fire Control Stabilizing Mechanisms,,,
1260,FIRE CONT DESIGNATING-INDICATING EQ,10/15/1978,9/30/2011,Fire Control Designating and Indicating Equipment,,,"Turret, Gun, Torpedo Mount, and Searchlight Indicating Equipment; Target Designating Equipment; Synchro Systems."
1260,FIRE CONTROL DESIGNATING AND INDICATING EQUIPMENT,10/1/2011,,Fire Control Designating and Indicating Equipment,,,"Turret, Gun, Torpedo Mount, and Searchlight Indicating Equipment; Target Designating Equipment; Synchro Systems."
1265,FIRE CONT EQ EXCEPT AIRBORNE,10/15/1978,9/30/2011,"Fire Control Transmitting and Receiving Equipment, except Airborne","Fire Control Transmitting and Receiving Equipment, Specially Designed for use on or with Fire Control Radar Equipment.",,"Fire Control Transmitters, Transmitter-Receivers, Receivers, Receiver-Regulators."
1265,"FIRE CONTROL TRANSMITTING AND RECEIVING EQUIPMENT, EXCEPT AIRBORNE",10/1/2011,,"Fire Control Transmitting and Receiving Equipment, except Airborne","Fire Control Transmitting and Receiving Equipment, Specially Designed for use on or with Fire Control Radar Equipment.",,"Fire Control Transmitters, Transmitter-Receivers, Receivers, Receiver-Regulators."
1270,AIRCRAFT GUNNERY FIRE CONT COMPS,10/15/1978,9/30/2011,Aircraft Gunnery Fire Control Components,Gun Chargers; Ammunition Boxes; Gun Heaters; Field and Link Chutes; Ammunition Boosters; Gyro Components; Complete Fire Control Systems.,,"Turrets, Aircraft; Computers, specifically designed; Complete Gyro Mechanisms."
1270,AIRCRAFT GUNNERY FIRE CONTROL COMPONENTS,10/1/2011,,Aircraft Gunnery Fire Control Components,Gun Chargers; Ammunition Boxes; Gun Heaters; Field and Link Chutes; Ammunition Boosters; Gyro Components; Complete Fire Control Systems.,,"Turrets, Aircraft; Computers, specifically designed; Complete Gyro Mechanisms."
1280,AIRCRAFT BOMBING FIRE CONT COMPS,10/15/1978,9/30/2011,Aircraft Bombing Fire Control Components,"Gyro Components; Optical Elements, such as Lens, Prisms, Filters.",,"Computers, specifically designed; Complete Gyro Mechanisms; Optical Instruments for Bombing Fire Control."
1280,AIRCRAFT BOMBING FIRE CONTROL COMPONENTS,10/1/2011,,Aircraft Bombing Fire Control Components,"Gyro Components; Optical Elements, such as Lens, Prisms, Filters.",,"Computers, specifically designed; Complete Gyro Mechanisms; Optical Instruments for Bombing Fire Control."
1285,"FIRE CONTROL RADAR EQUIPMENT, EXCEPT AIRBORNE",10/1/2011,,"Fire Control Radar Equipment, except Airborne",,,"Radar Sets, Assemblies, Subassemblies, and Components Specially Designed for use on or with Fire Control Equipment."
1285,FIRE CONT RADAR EQ EXCEPT AIRBORNE,10/15/1978,9/30/2011,"Fire Control Radar Equipment, except Airborne",,,"Radar Sets, Assemblies, Subassemblies, and Components Specially Designed for use on or with Fire Control Equipment."
1287,FIRE CONTROL SONAR EQUIPMENT,1/15/1979,,Fire Control Sonar Equipment,,"This class includes airborne, shipborne, and submarineborne sonar sets, assemblies, subassemblies, and components designed specifically for use with underwater fire control equipment.",
1290,MISCELLANEOUS FIRE CONTROL EQUIPMENT,10/1/2011,,Miscellaneous Fire Control Equipment,,,Fuze Setters; Ordnance Cable Systems;  Aiming Circles; Flash and Sound Ranging Sets; Fire  Control Components and Subassemblies Not Classifiable in other classes of group 12.
1290,MISC FIRE CONT EQUIPMENT,10/15/1978,9/30/2011,Miscellaneous Fire Control Equipment,,,Fuze Setters; Ordnance Cable Systems;  Aiming Circles; Flash and Sound Ranging Sets; Fire  Control Components and Subassemblies Not Classifiable in other classes of group 12.
13,AMMUNITION AND EXPLOSIVES,10/1/1979,,,,Excluded from this group are items specially designed for nuclear ordnance application.,
1305,"AMMUNITION, THROUGH 30 MM",10/15/1978,9/30/2011,"Ammunition, through 30 mm",,,Components.
1305,"AMMUNITION, THROUGH 30MM",10/1/2011,,"Ammunition, through 30 mm",,,Components.
1310,"AMMUNITION, OVER 30MM UP TO 75MM",10/1/2011,,"Ammunition, over 30 mm up to 75 mm",Fuzes and Primers.,,"Components, except Fuzes and Primers; Chemical Warfare Cartridges."
1310,"AMMUNITION, OVER 30 MM UP TO 75 MM",12/15/1978,9/30/2011,"Ammunition, over 30 mm up to 75 mm",Fuzes and Primers.,,"Components, except Fuzes and Primers; Chemical Warfare Cartridges."
1315,"AMMUNITION, 75 MM THROUGH 125 MM.",10/15/1978,9/30/2011,"Ammunition, 75 mm through 125 mm.",Fuzes and Primers.,,Components except Fuzes and Primers; Pyrotechnic Cartridges and Projectiles; Chemical Warfare Cartridges and Projectiles
1315,"AMMUNITION, 75MM THROUGH 125MM",10/1/2011,,"Ammunition, 75 mm through 125 mm.",Fuzes and Primers.,,Components except Fuzes and Primers; Pyrotechnic Cartridges and Projectiles; Chemical Warfare Cartridges and Projectiles
1320,"AMMUNITION, OVER 125 MM",10/15/1978,9/30/2011,"Ammunition, over 125 mm",Fuzes and Primers.,,"Components, except Fuzes and Primers; Chemical  Warfare Projectiles."
1320,"AMMUNITION, OVER 125MM",10/1/2011,,"Ammunition, over 125 mm",Fuzes and Primers.,,"Components, except Fuzes and Primers; Chemical  Warfare Projectiles."
1325,BOMBS,11/15/1978,,Bombs,,,Components; Photoflash Bombs; Chemical Warfare Bombs; Bomb Clusters.
1330,GRENADES,10/15/1978,,Grenades,Firing Devices (Launchers).,,Components; Hand and Rifle Grenades; Smoke Grenades.
1336,GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS,10/1/2011,,Guided Missile Warheads and Explosive Components,"Atomic Ordnance Warheads; All other Warheads for use on other than guided missiles; Liquid Propulsion Units; Rocket Engines (Liquid Propellent Units); JATO Units; Rocket Motors (Solid Propellant Units) for Guided Missiles; Solid Fuel Propulsion Units; Propellant Chemicals encased in consumable containers, such as squibs and cartridges for insertion into missile propulsion systems as integral parts.",,"Warheads Containing Military Chemical Agents; Exercise Heads, Guided Missile."
1336,GUIDED MSL WARHDS-EXPLOSIVE COMPS,10/15/1978,9/30/2011,Guided Missile Warheads and Explosive Components,"Atomic Ordnance Warheads; All other Warheads for use on other than guided missiles; Liquid Propulsion Units; Rocket Engines (Liquid Propellent Units); JATO Units; Rocket Motors (Solid Propellant Units) for Guided Missiles; Solid Fuel Propulsion Units; Propellant Chemicals encased in consumable containers, such as squibs and cartridges for insertion into missile propulsion systems as integral parts.",,"Warheads Containing Military Chemical Agents; Exercise Heads, Guided Missile."
1337,MSL & SPACE VEH EXPLOSIVE PROPULSN,11/15/1978,9/30/2011,"Guided Missile and Space Vehicle Explosive Propulsion Units, Solid Fuel; and components","Rocket Motors (Solid Propellant Units) for Guided Missiles, Inert-Loaded or Empty; All Inert (Nonexplosive) Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units; Guided Missile Warheads and Components; Rocket Propulsion Units; Rocket Motors (Solid Propellent Units) for Rockets; Solid Propellants predetermined to specific quantity and quality, but packaged in reusable containers.",,"Rocket Motors (Solid Propellant Units) for Guided Missiles, Explosive- Loaded; All Explosive Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units; Solid Propellants encased in consumable containers, such as squibs and cartridges, intended for insertion into missile propulsion systems as integral parts."
1337,"GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",10/1/2011,,"Guided Missile and Space Vehicle Explosive Propulsion Units, Solid Fuel; and components","Rocket Motors (Solid Propellant Units) for Guided Missiles, Inert-Loaded or Empty; All Inert (Nonexplosive) Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units; Guided Missile Warheads and Components; Rocket Propulsion Units; Rocket Motors (Solid Propellent Units) for Rockets; Solid Propellants predetermined to specific quantity and quality, but packaged in reusable containers.",,"Rocket Motors (Solid Propellant Units) for Guided Missiles, Explosive- Loaded; All Explosive Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units; Solid Propellants encased in consumable containers, such as squibs and cartridges, intended for insertion into missile propulsion systems as integral parts."
1338,"GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",10/1/2011,,"Guided Missile and Space Vehicle Inert Propulsion Units, Solid Fuel; and components","Rocket Motors (Solid Propellant Units) for Guided Missiles, Explosive-Loaded; Guided Missile Warheads and Components; Rocket Propulsion Units; Rocket Motors (Solid Propellant Units) for Rockets.",,"Rocket Motors (Solid Propellant Units) for guided Missiles, Inert-Loaded or Empty; All Inert  (Nonexplosive) Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units."
1338,MSL & SPACE VEH INERT PROPULSION,11/15/1978,9/30/2011,"Guided Missile and Space Vehicle Inert Propulsion Units, Solid Fuel; and components","Rocket Motors (Solid Propellant Units) for Guided Missiles, Explosive-Loaded; Guided Missile Warheads and Components; Rocket Propulsion Units; Rocket Motors (Solid Propellant Units) for Rockets.",,"Rocket Motors (Solid Propellant Units) for guided Missiles, Inert-Loaded or Empty; All Inert  (Nonexplosive) Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units."
1340,"ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS",10/1/2011,,"Rockets, Rocket Ammunition and Rocket Components","Nuclear rockets, Nuclear warheads; all other warheads for use on other than rockets; and rockets with built-in guiding devices.",,"Complete Rounds; Explosive Components,  Including Warheads; Pyrotechnic Rockets; Solid Fuel JATO Units; Rocket Motors (Solid Propellant Units) for Rockets; Covers, Protective Rocket Warhead; Jettisonable Rocket Launchers; Conditioning Kits and Sets, Controlled Environment; and other peculiar components which are not classified elsewhere."
1340,ROCKETS & ROCKET AMMUNITION,10/15/1978,9/30/2011,"Rockets, Rocket Ammunition and Rocket Components","Nuclear rockets, Nuclear warheads; all other warheads for use on other than rockets; and rockets with built-in guiding devices.",,"Complete Rounds; Explosive Components,  Including Warheads; Pyrotechnic Rockets; Solid Fuel JATO Units; Rocket Motors (Solid Propellant Units) for Rockets; Covers, Protective Rocket Warhead; Jettisonable Rocket Launchers; Conditioning Kits and Sets, Controlled Environment; and other peculiar components which are not classified elsewhere."
1345,LAND MINES,11/15/1978,,Land Mines,,,Components; Antipersonnel Mines; Antitank Mines; Fuzes.
1346,REMOTE MUNITIONS,5/1/2005,,Munitions items-systems that are not held by the soldier but are deployed for future activation.,,,
1350,UNDERWATER MINE INERT COMPONENTS,10/15/1978,9/30/2011,Underwater Mine Inert Components,,,Parachute Packs; Inert Mine Cases; Booster Cans; Clock Delays; Clock Starters; Search Coils; Extenders.
1350,"UNDERWATER MINE AND COMPONENTS, INERT",10/1/2011,,Underwater Mine Inert Components,,,Parachute Packs; Inert Mine Cases; Booster Cans; Clock Delays; Clock Starters; Search Coils; Extenders.
1351,UNDERWATER MINE EXPLOSIVE COMPS,12/15/1978,9/30/2011,Underwater Mine Explosive Components,,,Loaded Cases; Boosters; Detonators.
1351,"UNDERWATER MINES AND COMPONENTS, EXPLOSIVE",10/1/2011,,Underwater Mine Explosive Components,,,Loaded Cases; Boosters; Detonators.
1352,UNDERWATER MINE DISPOSAL INERT DEVICES,10/1/2011,,Version of Underwater Mine Disposal Explosive Device without destructive charge.,"Torpedo Inert components,depth charges, and underwater mines.",Intended for underwater mine hunting and reconnaissance.May also be used for training purposes.,"Complete operating units, such as an underwater mine reconnaissance device, as well as component parts, practice,training, blank, and dummies."
1352,UNDERWATER MINE DISPOAL INERT DEVICES,5/1/2005,9/30/2011,Version of Underwater Mine Disposal Explosive Device without destructive charge.,"Torpedo Inert components,depth charges, and underwater mines.",Intended for underwater mine hunting and reconnaissance.May also be used for training purposes.,"Complete operating units, such as an underwater mine reconnaissance device, as well as component parts, practice,training, blank, and dummies."
1353,UNDERWATER MINE DISPOSAL EXPLOSIVE DEVICES,10/1/2011,,"Complete explosive devices, including destructive charge.","Underwater Mine Explosive Components (FSC 1351), Torpedo Explosive Components (FSC 1356), Military Chemical Agents (FSC 1365).","It is fired,guided to target and detonated from a vessel or other remote site.","Complete explosive device, including ammunition, detonating charge,and component parts."
1353,UNDERWATER MINE DISPOAL EXPLOSIVE DEVICES,5/1/2005,9/30/2011,"Complete explosive devices, including destructive charge.","Underwater Mine Explosive Components (FSC 1351), Torpedo Explosive Components (FSC 1356), Military Chemical Agents (FSC 1365).","It is fired,guided to target and detonated from a vessel or other remote site.","Complete explosive device, including ammunition, detonating charge,and component parts."
1355,"TORPEDOS AND COMPONENTS, INERT",10/1/2011,,Torpedo Inert Components,,,
1355,TORPEDO INERT COMPONENTS,10/15/1978,9/30/2011,Torpedo Inert Components,,,
1356,"TORPEDOS AND COMPONENTS, EXPLOSIVE",10/1/2011,,Torpedo Explosive Components,,,Warheads; Boosters; Detonators.
1356,TORPEDO EXPLOSIVE COMPONENTS,11/15/1978,9/30/2011,Torpedo Explosive Components,,,Warheads; Boosters; Detonators.
1360,"DEPTH CHARGES AND COMPONENTS, INERT",10/1/2011,,Depth Charge Inert Components,,,Inert Firing Mechanisms; Pistols without Detonators; Extenders.
1360,DEPTH CHARGE INERT COMPONENTS,5/15/1981,9/30/2011,Depth Charge Inert Components,,,Inert Firing Mechanisms; Pistols without Detonators; Extenders.
1361,"DEPTH CHARGES AND COMPONENTS, EXPLOSIVE",10/1/2011,,Depth Charge Explosive Components,,,Cases; Boosters; Detonator.
1361,DEPTH CHARGE EXPLOSIVE COMPONENTS,7/15/1979,9/30/2011,Depth Charge Explosive Components,,,Cases; Boosters; Detonator.
1365,MILITARY CHEMICAL AGENTS,11/15/1978,,Military Chemical Agents,Ammunition containing Military Chemical Agents.,,War Gases; Screening Smokes; Incendiary and thickening Agents; Signaling Smokes.
1367,"TACTICAL SETS, KITS, AND OUTFITS",5/1/2005,,"A collection of items, which are used for a specific purpose.",,"These sets,kits and outfits may include such items as uniforms, weapons, body armor, and the like. By themselves, each of these components belongs in an FSC other than 1367.",Each collection must include at least one item of ordnance classified in Group 13. Ordnance may be non-lethal (as defined in the Department of Defense Directive 3000.3)
1370,PYROTECHNICS,10/15/1978,,Pyrotechnics,Pyrotechnic Cartridges and Projectiles; Photoflash Bombs; Pyrotechnic Rockets.,,Flares; Signals; Fireworks; Pistol Rocket Signals.
1375,DEMOLITION MATERIALS,11/15/1978,,Demolition Materials,"Liquid Propellant Fuels and Oxidizers; Solid Propellants encased in consumable containers, for insertion into missile propulsion systems as integral parts; Guided Missile Explosive Devices; Safety-in-Flight Explosive Items and Devices such as, Impulse Cartridges, Delay Cartridges, Aircraft Ejection Seat Catapults, Aircraft Canopy Removers, and similar items, as shown in the indexes to the FSC; Solid Propellants, predetermined to specific quantity and quality, packaged in reusable containers; Nuclear Ordnance Components; Rocket and Guided Missile Motors, Warheads, and Propulsion Sections.",,"Items for construction, quarrying and demolition work such as Dynamite and other explosives packed in cylindrical paper cartridges or in bags, Demolition Charges; Blasting Caps; Blasting Time Fuses; Detonating Cord; Demolition Firing Devices; Booby Trap Mechanisms; Bangalore Torpedoes; Inert accessories and components such as Blasting Machines, Priming Adapters, and Detonating Cord Clips."
